"brand,""model"",""Year"",""trim"",""price"",""body_type"",""doors"",""total_seating"",""wheelbase"",""cargo_capacity"",""curb_weight"",""gross_weight"",""maximum_payload"",""towing_capacity"",""engine_size"",""horsepower"",""torque"",""drive_type"",""engine_type"",""mpg"",""image"",""electric_range"",""EPA time to charge battery (at 240V) (hr)"",""battery_capacity (KWh)"""
"Alfa Romeo,""Tonale"",2025,""Tributo Italiano 4dr SUV AWD (1.3L 4cyl Turbo gas/electric plug-in hybrid 6A)"",51995,""SUV"",5,5,103.8,22.9,"""",5335,1197,2000,1.3,285,347,""all wheel drive"",""plug-in hybrid"",29,""https://media.ed.edmunds-media.com/alfa-romeo/tonale/2025/oem/2025_alfa-romeo_tonale_4dr-suv_tributo-italiano_fq_oem_1_815.jpg"",33,"""","""""
"Alfa Romeo,""Tonale"",2025,""4dr SUV AWD (2.0L 4cyl Turbo 9A)"",36495,""SUV"",5,5,103.8,22.9,"""",4960,"""","""",2,"""","""",""all wheel drive"",""gas"","""",""https://media.ed.edmunds-media.com/alfa-romeo/tonale/2025/oem/2025_alfa-romeo_tonale_4dr-suv_tributo-italiano_fq_oem_1_815.jpg"","""","""","""""
"Aston Martin,""Vantage"",2025,""2dr Coupe (4.0L 8cyl Turbo 8A)"",191000,""Coupe"",2,2,106.5,8.3,"""","""","""","""",4,656,590,""rear wheel drive"",""gas"",18,""https://media.ed.edmunds-media.com/aston-martin/vantage/2025/oem/2025_aston-martin_vantage_coupe_base_fq_oem_2_815.jpg"","""","""","""""
"Audi,""A3"",2025,""Premium Plus 4dr Sedan AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",40800,""Sedan"",4,5,103.7,8.3,3461,4431,860,"""",2,201,236,""all wheel drive"",""mild hybrid"",28,""https://media.ed.edmunds-media.com/audi/a3/2025/oem/2025_audi_a3_sedan_premium-plus_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A3"",2025,""Premium 4dr Sedan AWD w/40 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",38200,""Sedan"",4,5,103.7,8.3,3461,4431,860,"""",2,201,236,""all wheel drive"",""mild hybrid"",28,""https://media.ed.edmunds-media.com/audi/a3/2025/oem/2025_audi_a3_sedan_premium-plus_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4"",2025,""Premium S line 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",44100,""Sedan"",4,5,111,12,3682,4850,1014,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4/2022/oem/2022_audi_a4_sedan_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4"",2025,""Premium Plus S line 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",48600,""Sedan"",4,5,111,12,3682,4850,1014,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4/2022/oem/2022_audi_a4_sedan_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4"",2025,""Prestige S line 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",51300,""Sedan"",4,5,111,12,3682,4850,1014,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4/2022/oem/2022_audi_a4_sedan_prestige-s-line_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4 allroad"",2025,""Premium Plus 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",52100,""Wagon"",5,5,110.9,24.2,3847,5016,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4-allroad/2021/oem/2021_audi_a4-allroad_wagon_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4 allroad"",2025,""Prestige 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",55800,""Wagon"",5,5,110.9,24.2,3847,5016,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4-allroad/2021/oem/2021_audi_a4-allroad_wagon_prestige_fq_oem_1_815.jpg"","""","""","""""
"Audi,""A4 allroad"",2025,""Premium 4dr Wagon AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)"",47600,""Wagon"",5,5,110.9,24.2,3847,5016,1058,"""",2,261,273,""all wheel drive"",""mild hybrid"",26,""https://media.ed.edmunds-media.com/audi/a4-allroad/2021/oem/2021_audi_a4-allroad_wagon_prestige_fq_oem_1_815.jpg"","""","""","""""
